C, r, R, R, R, R, L, R, L, R, L, r, R, R, R, R, R, R		 at 	-0.093713125	
C, r, R, R, R, R, L, R, L, R, L, L, r, R, R, R, R, R		 at 	-0.093714538	
C, r, R, R, R, R, L, R, L, R, L, L, r, R, R, R, R, R		 at 	-0.093714695	
C, r, R, R, R, R, L, R, L, L, r, R, R, R, R, L, R, L		 at 	-0.093719405	
C, r, R, R, R, R, L, R, L, L, r, R, R, R, R, L, L, L		 at 	-0.093719562	
C, r, R, R, R, R, L, R, L, L, L, R, R, R, r, R, R, R		 at 	-0.093723016	
C, r, R, R, R, R, L, R, L, L, L, R, R, r, R, R, R, R		 at 	-0.093723173	
C, r, R, R, R, R, L, R, L, L, L, r, R, R, R, R, R, R		 at 	-0.093724743	
C, r, R, R, R, R, L, R, L, L, R, r, R, R, R, R, R, L		 at 	-0.093725057	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, L, R, L, r		 at 	-0.093743112	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, L, R, L, L		 at 	-0.093743269	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, R, L, R, R		 at 	-0.093744839	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, R, L, R, L		 at 	-0.093744996	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, R, R, L, r		 at 	-0.093745467	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, R, R, R, R		 at 	-0.093745624	
C, r, R, R, R, R, L, R, R, L, R, r, R, R, R, R, R, R		 at 	-0.093764621	
C, r, R, R, R, R, L, R, R, L, R, r, R, R, R, R, R, L	0	 at 	-0.093764778			PREZERO after 18 iterates
C, r, R, R, R, R, L, R, R, L, R, r, R, R, R, R, L, R		 at 	-0.093764935	
C, r, R, R, R, R, L, R, R, L, r, R, R, R, R, L, L, r		 at 	-0.093773727	
C, r, R, R, R, R, L, R, R, L, r, R, R, R, R, L, R, L	0	 at 	-0.093773884			PREZERO after 18 iterates
