C, r, R, R, R, R, L, R, L, R, r, R, R, R, R, L, R	0	 at 	-0.093719248			PREZERO after 17 iterates
C, r, R, R, R, R, L, R, L, L, r, R, R, R, R, L, L		 at 	-0.093719562	
C, r, R, R, R, R, L, R, L, L, r, R, R, R, R, R, r		 at 	-0.093719719	
C, r, R, R, R, R, L, R, L, L, r, R, R, R, R, R, R		 at 	-0.093719876	
C, r, R, R, R, R, L, R, L, L, L, r, R, R, R, R, R		 at 	-0.093724743	
C, r, R, R, R, R, L, R, L, L, R, r, R, R, R, R, R		 at 	-0.093725057	
C, r, R, R, R, R, L, R, L, L, R, R, R, L, r, R, R		 at 	-0.093727412	
C, r, R, R, R, R, L, R, L, L, R, R, R, R, R, L, R		 at 	-0.093727569	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, R, R, R		 at 	-0.093740286	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, R, R, R		 at 	-0.093740443	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, R, L, r		 at 	-0.093740757	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, R, L, R		 at 	-0.093740914	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, L, L, R		 at 	-0.093741856	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, L, L, L		 at 	-0.093742013	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, L, R, L		 at 	-0.093742484	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, L, R, L	0	 at 	-0.093742641			PREZERO after 17 iterates
C, r, R, R, R, R, L, R, R, r, R, R, R, R, L, R, L	0	 at 	-0.093743112			PREZERO after 17 iterates
C, r, R, R, R, R, L, R, R, r, R, R, R, R, L, R, L		 at 	-0.093743269	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, L, L, r		 at 	-0.09374374	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, L, L, L		 at 	-0.093743897	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, R, L, R		 at 	-0.093744839	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, R, L, R		 at 	-0.093744996	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, R, R, r		 at 	-0.09374531	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, R, R, L		 at 	-0.093745467	
C, r, R, R, R, R, L, R, R, L, R, R, r, R, R, R, R		 at 	-0.093762423	
